"argument_name","description","default_value","source_file","is_involved","recommended_value","reason"
"action_pool_depth","Pool for non goma tasks.","-1","//build/toolchain/BUILD.gn:11","否","保持默认","与需求无关，使用默认值"
"added_rust_stdlib_libs","Any extra std rlibs in your Rust toolchain, relative to the standard Rust toolchain. Typically used with 'use_unverified_rust_toolchain' = true","[]","//build/config/rust.gni:44","否","保持默认","与需求无关，使用默认值"
"allow_critical_memory_pressure_handling_in_foreground","","false","//content/common/features.gni:14","否","保持默认","与需求无关，使用默认值"
"allow_runtime_configurable_key_storage","Whether to make account and service names for the crypto key storage configurable at runtime for embedders. Currently only has an effect on macOS via KeychainPassword","false","//components/os_crypt/features.gni:17","否","保持默认","与需求无关，使用默认值"
"also_build_ash_chrome","Setting this to true when building linux Lacros-chrome will cause it to toolchain. Don't set this unless you're sure you want it, because it'll double your build time.","false","//build/config/chromeos/ui_mode.gni:26","否","保持默认","与需求无关，使用默认值"
"also_build_lacros_chrome","Setting this to true when building linux ash-chrome will cause it to","false","//build/config/chromeos/ui_mode.gni:30","否","保持默认","与需求无关，使用默认值"
"also_build_lacros_chrome_for_architecture","Setting this when building ash-chrome will cause it to You can set this to either ""amd64"" or ""arm"".","""""","//build/config/chromeos/ui_mode.gni:35","否","保持默认","与需求无关，使用默认值"
"alternate_cdm_storage_id_key","If |enable_cdm_storage_id| is set, then an implementation specific key must also be provided. It can be provided by defining CDM_STORAGE_ID_KEY The key must be a string of at least 32 characters.","""""","//media/media_options.gni:218","否","保持默认","与需求无关，使用默认值"
"android_channel","The channel to build on Android: stable, beta, dev, canary, work, or default. ""default"" should be used on non-official builds.","""default""","//build/config/android/channel.gni:8","否","保持默认","仅支持Linux平台，此参数不适用"
"android_full_debug","Normally, Android builds are lightly optimized, even for debug builds, to keep binary size down. Setting this flag to true disables such optimization","false","//build/config/compiler/BUILD.gn:60","否","保持默认","仅支持Linux平台，此参数不适用"
"angle_64bit_current_cpu","","true","//third_party/angle/gni/angle.gni:84","否","保持默认","与需求无关，使用默认值"
"angle_assert_always_on","","true","//third_party/angle/gni/angle.gni:79","否","保持默认","与需求无关，使用默认值"
"angle_build_all","Don't build extra (test, samples etc) for Windows UWP. We don't have infrastructure (e.g. windowing helper functions) in place to run them.","false","//third_party/angle/BUILD.gn:42","否","保持默认","与需求无关，使用默认值"
"angle_build_capture_replay_tests","Determines if we build the capture_replay_tests. Off by default.","false","//third_party/angle/src/tests/capture_replay_tests/BUILD.gn:9","否","保持默认","不需要测试/基准测试功能"
"angle_build_tests","True if we want to build the ANGLE test suites. On by default in most configs.","true","//third_party/angle/gni/angle.gni:258","否","保持默认","不需要测试/基准测试功能"
