GN Arg Name,描述(中文),Default Value,Involved,Recommended Value,Reason (中文)
is_debug,调试构建模式会开启大量断言符号和调试信息影响构建体积与性能,true,是,false,在需要最小产出与较高性能的场景下应关闭调试
is_official_build,官方构建标志影响优化符号与字符串处理,false,是,true,官方构建通常更优化符号更少适合最小化打包
is_component_build,是否为组件化构建影响链接方式与产物结构,false,是,false,组件化通常增加二进制数量与复杂性简化构建以便减小体积
symbol_level,符号级别影响调试符号的数量与大小,2,是,0,降低符号级别可减少符号表大小和可执行文件体积
blink_symbol_level,Blink引擎符号级别依赖symbol_level,depends_on_symbol_level,是,0,为Blink调试符号合理降级以减小体积
v8_symbol_level,V8引擎符号级别依赖symbol_level,depends_on_symbol_level,是,0,V8符号会影响打包大小通常设为低级别
dcheck_always_on,DCHECK开关控制运行时断言行为,false,是,false,默认关闭可降低运行时开销
target_os,目标操作系统构建目标平台,host_os,是,linux,Linux为目标平台时需要针对性配置
target_cpu,目标CPU架构构建目标CPU,host_cpu,是,x64,确保生成针对正确架构的二进制
is_linux,是否在Linux平台构建,true,是,true,因目标为Linux确保Linux相关路径与依赖启用
use_udev,在Linux上使用libudev进行设备枚举,is_linux,是,true,设备枚举对系统运行必要保持启用
use_dbus,在Linux上使用DBus IPC,is_linux,是,true,DBus IPC是Linux桌面环境必需
use_gio,在Linux上使用GIO库与相关底层实现,is_linux,是,true,GIO用于文件系统访问保持启用
enable_vulkan,启用Vulkan图形后端,true,是,false,NO GPU acceleration禁用Vulkan减少GPU依赖
use_angle,使用ANGLE作为图形翻译层,true,是,false,NO GPU accelerationANGLE增加图形依赖禁用
use_gl,OpenGL配置开关,true,是,false,NO GPU accelerationOpenGL是GPU路径禁用
use_egl,EGL支持开关,true,是,false,NO GPU accelerationEGL用于GPU驱动场景禁用
enable_gpu_client_logging,GPU客户端日志,false,是,false,调试GPU问题时开启生产环境建议关闭
enable_gpu_service_logging,GPU服务日志,false,是,false,同上避免额外日志开销
angle_enable_vulkan_gpu_trace_events,Vulkan GPU跟踪事件开关,false,是,false,用于调试阶段生产可关闭
use_vaapi,在Linux上使用VA API视频解码硬件加速,is_linux,是,false,NO GPU accelerationVA API是硬件加速禁用
use_v4l2_codec,使用V4L2编解码支持,false,是,false,NO GPU accelerationV4L2是视频硬件编解码禁用
use_linux_video_acceleration,Linux视频加速总开关,use_vaapi || use_v4l2_codec,是,false,NO GPU acceleration禁用所有Linux视频加速
media_use_ffmpeg,是否启用FFmpeg媒体框架支持,true,是,true,FFmpeg提供编解码能力YouTube播放需要
enable_ffmpeg_video_decoders,启用FFmpeg视频解码器,true,是,true,视频解码对播放YouTube必需
proprietary_codecs,是否启用专有编解码器如H264 AAC等,is_chrome_branded,是,true,YouTube需要H264 AAC编解码器支持
